id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform,r_5,r_25,r_40,r_60,time_old format
1155,We'll miss you around here!,EZpz,193,,2:25,control,1,1,1,1,1,1,1,,,,,00:01:45
1156,Mmm Mmm Good!,VitaBOCA,194,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1157,I would never dare challenge you as grill master!,EZpz,194,,0:05,control,1,1,1,1,1,1,1,,,,,00:03:20
1158,idk looks a little flat to me 🤷🏻,M.Kapadia92,194,,0:24,control,1,1,1,1,1,1,1,,,,,00:09:33
1159,I hope he grills next time I come over,ancho-n-cayenne,194,,0:14,control,1,1,1,1,1,1,1,,,,,00:01:00
1160,Looks fantastic,masterchefterry,194,,4:11,control,1,1,1,1,1,1,1,,,,,00:00:27
1161,You've got good taste,EZpz,195,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:53
1162,Oh hell yeah!,masterchefterry,195,,0:16,control,1,1,1,1,1,1,1,,,,,00:03:13
1163,Fantastic song.,MrShazam,195,,3:21,control,1,1,1,1,1,1,1,,,,,00:06:39
1164,Cupcakes AND oreos???? count me in.,masterchefterry,196,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1165,These look great!,MrShazam,196,,0:09,control,1,1,1,1,1,1,1,,,,,00:08:11
1166,you should go on cupcake wars!,Jcole9,196,,0:19,control,1,1,1,1,1,1,1,,,,,00:06:49
1167,I would gobble those up in a second,lee.alexa,196,,0:12,control,1,1,1,1,1,1,1,,,,,00:01:00
1168,Sooooo where can I get some?,csmbx1,196,,2:00,control,1,1,1,1,1,1,1,,,,,00:05:23
1169,Aww this is cute,MrShazam,197,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1170,Lol can I pay you to follow me around and take candids like this,csmbx1,197,,0:19,control,1,1,1,1,1,1,1,,,,,00:08:11
1171,Seems like the perfect outdoor day :),mewranda,197,,4:56,control,1,1,1,1,1,1,1,,,,,00:06:49
1172,SUCH A GOOD BOY,csmbx1,198,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1173,I would die for this dog.,mewranda,198,,0:04,control,1,1,1,1,1,1,1,,,,,00:05:23
1174,he's grown so much!,ria_camiii,198,,0:24,control,1,1,1,1,1,1,1,,,,,00:04:32
1175,I miss him!! And I know he misses me too!!!!,SnakeCharmer,198,,2:51,control,1,1,1,1,1,1,1,,,,,00:06:34
1176,Omg stunning!,mewranda,199,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1177,You are so talented!,SnakeCharmer,199,,0:09,control,1,1,1,1,1,1,1,,,,,00:05:57
1178,Would you make one for me?? I'd pay!,difrad,199,,2:19,control,1,1,1,1,1,1,1,,,,,00:01:55
1179,Can't wait to see!,SnakeCharmer,200,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1180,One of my favorite activities :),difrad,200,,0:09,control,1,1,1,1,1,1,1,,,,,00:01:30
1181,"that's a loooot of pumpkins, the place I went to had only like 15!",kittycatbakes,200,,0:17,control,1,1,1,1,1,1,1,,,,,00:04:32
1182,So fun!,M.Kapadia92,200,,4:29,control,1,1,1,1,1,1,1,,,,,00:03:57
1183,That's huge! Congrats!,difrad,201,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1184,Wow!!!,M.Kapadia92,201,,0:06,control,1,1,1,1,1,1,1,,,,,00:04:32
1185,Gotta love the freedom :),livelaughlove,201,,2:14,control,1,1,1,1,1,1,1,,,,,00:00:56
1186,Oooo I love a good drive!,M.Kapadia92,202,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1187,Glad you made it home safe ❤️,livelaughlove,202,,0:11,control,1,1,1,1,1,1,1,,,,,00:05:00
1188,Don't take pictures and drive!,lavenderrrrrr,202,,0:16,control,1,1,1,1,1,1,1,,,,,00:07:12
1189,nothing like getting home after a long drive,Sue_S,202,,0:12,control,1,1,1,1,1,1,1,,,,,0:10:12
1190,Sounds like a busy day!,bblueberryy,202,,4:03,control,1,1,1,1,1,1,1,,,,,00:04:04
1191,Omg it's lovely!,livelaughlove,203,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1192,That's impressive craftsmenship,bblueberryy,203,,0:07,control,1,1,1,1,1,1,1,,,,,00:04:05
1193,Looks great,ancho-n-cayenne,203,,3:27,control,1,1,1,1,1,1,1,,,,,00:00:44
1194,Who's gonna tell them.....,bblueberryy,204,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1195,I dont think that link leads to anywhere...,jake_turk,204,,0:14,control,1,1,1,1,1,1,1,,,,,0:17:12
1196,"Oh honey, no.",ancho-n-cayenne,204,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:28
1197,Ooo this seems awesome!,john73,204,,2:51,control,1,1,1,1,1,1,1,,,,,00:07:12
1198,"Was there a few days ago, best day ever!",ancho-n-cayenne,205,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1199,That's my perfect afternoon,john73,205,,0:17,control,1,1,1,1,1,1,1,,,,,00:09:42
1200,How nice! Any favorites?,coachmatthews,205,,4:06,control,1,1,1,1,1,1,1,,,,,00:00:08
1201,Omg it's a blue jay!!!,john73,206,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1202,Wow! I've never seen one of those around my house!,coachmatthews,206,,0:19,control,1,1,1,1,1,1,1,,,,,00:06:07
1203,neato,earthpulse,206,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:00
1204,This picture gave me the motivation to finally put my bird feeder up,jackrussellmom,206,,0:22,control,1,1,1,1,1,1,1,,,,,00:06:57
1205,It's beautiful isn't it??,NoahM1121,206,,4:43,control,1,1,1,1,1,1,1,,,,,00:06:41
1206,Have fun girls!,coachmatthews,207,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1207,They'll have such a good time! Miss them already!,NoahM1121,207,,0:22,control,1,1,1,1,1,1,1,,,,,00:05:06
1208,Tell them to send me letters!,MannyDL34,207,,4:06,control,1,1,1,1,1,1,1,,,,,00:06:41
1209,"Impressive, well done!",NoahM1121,208,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1210,So when are you inviting us over for beers? Looks great!,MannyDL34,208,,0:11,control,1,1,1,1,1,1,1,,,,,00:06:57
1211,can you do my next? 😉😆,karenM,208,,0:55,control,1,1,1,1,1,1,1,,,,,00:06:41
1212,Can't wait to see in person!,sweetpea,208,,4:38,control,1,1,1,1,1,1,1,,,,,00:01:00
1213,Congrats!!,MannyDL34,209,,0:05,control,1,1,1,1,1,1,1,,,,,00:05:06
1214,Moving up in the world! You rock!,sweetpea,209,,0:09,control,1,1,1,1,1,1,1,,,,,00:04:22
1215,Well deserved!,mateoV,209,,2:09,control,1,1,1,1,1,1,1,,,,,00:06:50
1216,Congratulations!!!!,sweetpea,210,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1217,Ugh I love you guys SO MUCH!,mateoV,210,,0:18,control,1,1,1,1,1,1,1,,,,,00:02:16
1218,Congrats! What a great picture! ,jupiterpride,210,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:00
1219,finally!! jk 😉 really happy for you both,wiz_khaleesi,210,,0:22,control,1,1,1,1,1,1,1,,,,,00:04:52
1220,This makes me so happy!!!! CONGRATS!!!,artisanalways,210,,2:51,control,1,1,1,1,1,1,1,,,,,00:05:22
1221,Haha bet I could beat you ;),mateoV,211,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1222,Omg that game is so addictive hahaha,artisanalways,211,,0:19,control,1,1,1,1,1,1,1,,,,,00:07:26
1223,I could spend hours playing that,Jcole9,211,,3:43,control,1,1,1,1,1,1,1,,,,,00:05:01
1224,Tell them I say hi!,artisanalways,212,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1225,So nice you get to catch up with them,Jcole9,212,,0:06,control,1,1,1,1,1,1,1,,,,,00:07:51
1226,beautiful family ❤️,_aikira_,212,,0:24,control,1,1,1,1,1,1,1,,,,,00:03:40
1227,"aww they're so precious, makes me miss my parents",earthpulse,212,,2:51,control,1,1,1,1,1,1,1,,,,,00:01:00
1228,Wouldn't miss it for the world!,Jcole9,213,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1229,I'll be there! Send me the deets!,_aikira_,213,,0:09,control,1,1,1,1,1,1,1,,,,,00:04:52
1230,Break a leg!,fusionfeast,213,,3:30,control,1,1,1,1,1,1,1,,,,,00:04:35
1231,What sort of project? I could help you find someone,_aikira_,214,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1232,Just dm'd,fusionfeast,214,,0:05,control,1,1,1,1,1,1,1,,,,,00:07:00
1233,That's a whole lotta wood!,hockeymom101,214,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:00
1234,Interested!,lee.alexa,214,,2:51,control,1,1,1,1,1,1,1,,,,,00:04:52
1235,Really? I find it to be pretty good comfort food,fusionfeast,215,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1236,Yeah I know what you mean....,lee.alexa,215,,0:24,control,1,1,1,1,1,1,1,,,,,00:03:45
1237,Mediocre at best.,ria_camiii,215,,3:30,control,1,1,1,1,1,1,1,,,,,00:08:36
1238,I don't care as long as Tom Holland is the love interest 😍,lee.alexa,216,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1239,"Chris Pine, I will be taking no other suggestions.",ria_camiii,216,,0:25,control,1,1,1,1,1,1,1,,,,,00:01:47
1240,I LOVE Emma Watson!,caffeinated,216,,0:14,control,1,1,1,1,1,1,1,,,,,00:07:32
1241,"easy, Jennifer Lawrence",hockeymom101,216,,0:25,control,1,1,1,1,1,1,1,,,,,00:00:42
1242,hmm this is such a good question! Tom Hanks? Dont mean to flatter myself hahah,TomM41,216,,2:33,control,1,1,1,1,1,1,1,,,,,00:05:47
1243,Great skill to have!,ria_camiii,217,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1244,"Oh I'm interested, where is it? Can you send the details?",caffeinated,217,,0:06,control,1,1,1,1,1,1,1,,,,,00:08:55
1245,"Sharing with friends, this will be a great course!",lavenderrrrrr,217,,4:23,control,1,1,1,1,1,1,1,,,,,00:03:15
1246,I almost don't mind being snowed in when it looks like this 😍,caffeinated,218,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1247,Lovely pic!,lavenderrrrrr,218,,0:21,control,1,1,1,1,1,1,1,,,,,00:00:42
1248,Couldn't agree more,earthpulse,218,,0:24,control,1,1,1,1,1,1,1,,,,,00:05:47
1249,a very artistic picture!,ayoitsayo,218,,2:51,control,1,1,1,1,1,1,1,,,,,00:07:58
1250,Awesome pics!,lavenderrrrrr,219,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1251,"Your photography is really improving, way to go!",earthpulse,219,,0:12,control,1,1,1,1,1,1,1,,,,,00:01:48
1252,Love!,cavsforever,219,,3:22,control,1,1,1,1,1,1,1,,,,,00:03:38
1253,Wow sick cave!,earthpulse,220,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1254,Such big rocks for such a small girl!,cavsforever,220,,0:25,control,1,1,1,1,1,1,1,,,,,00:07:58
1255,Fun times!,breethebaker,220,,0:14,control,1,1,1,1,1,1,1,,,,,00:07:21
1256,what a cool pic,B.Mike,220,,0:25,control,1,1,1,1,1,1,1,,,,,00:00:42
1257,where is this? I would love to do some exploring myself ,generic-joe,220,,2:33,control,1,1,1,1,1,1,1,,,,,00:05:47
1258,It was a great game!,cavsforever,221,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1259,Jealous!!!!,breethebaker,221,,0:22,control,1,1,1,1,1,1,1,,,,,00:01:12
1260,That's a perfect view right there,kittycatbakes,221,,4:21,control,1,1,1,1,1,1,1,,,,,00:04:40
1261,Here's to many more happy years!,breethebaker,222,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1262,"Congratulations you two, sending love",kittycatbakes,222,,0:22,control,1,1,1,1,1,1,1,,,,,00:09:38
1263,A picture almost as beautiful as you two!,hockeymom101,222,,0:24,control,1,1,1,1,1,1,1,,,,,00:07:58
1264,😍😍😍,localewis,222,,4:56,control,1,1,1,1,1,1,1,,,,,00:06:22
1265,Super fun hair for super fun girls!,kittycatbakes,223,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1266,Such cuties!,localewis,223,,0:22,control,1,1,1,1,1,1,1,,,,,00:08:29
1267,They've gotten so big omg,jupiterpride,223,,2:46,control,1,1,1,1,1,1,1,,,,,00:00:18
1268,"I'm so sorry, keeping you and your family in my thoughts.",localewis,224,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1269,Praying for you and thinking of you,jupiterpride,224,,0:25,control,1,1,1,1,1,1,1,,,,,00:08:01
1270,Sending love 💕,breathe_in,224,,0:11,control,1,1,1,1,1,1,1,,,,,00:01:36
1271,"How awful! She's so strong, she'll be out in no time!",Lisa181818,224,,0:13,control,1,1,1,1,1,1,1,,,,,00:07:56
1272,so sorry! Let me know if there is anything I can do ❤️,PatelS,224,,3:33,control,1,1,1,1,1,1,1,,,,,00:05:48
1273,LET'S GOOOOOO,jupiterpride,225,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1274,This is gonna be hype,breathe_in,225,,0:24,control,1,1,1,1,1,1,1,,,,,00:07:56
1275,Can't wait bro,jackrussellmom,225,,4:26,control,1,1,1,1,1,1,1,,,,,00:05:48
1276,I could eat that whole thing!,breathe_in,226,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1277,Omg that looks so good,jackrussellmom,226,,0:12,control,1,1,1,1,1,1,1,,,,,00:07:54
1278,You'll have to send me the recipe!,tastyrobot,226,,0:20,control,1,1,1,1,1,1,1,,,,,00:09:31
1279,Very scrumptious.,Lisa181818,226,,4:20,control,1,1,1,1,1,1,1,,,,,00:02:01
1280,Sounds interesting!,jackrussellmom,227,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1281,These are so pretty!,tastyrobot,227,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:26
1282,I'll message you for the details :),wiz_khaleesi,227,,4:23,control,1,1,1,1,1,1,1,,,,,00:00:13
1283,Looks so good!,tastyrobot,228,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1284,Wow! Totally new look I love it!,wiz_khaleesi,228,,0:15,control,1,1,1,1,1,1,1,,,,,00:02:01
1285,Looking sharp 👍,karenM,228,,0:11,control,1,1,1,1,1,1,1,,,,,00:02:25
1286,Looks great! Be confident!,Smitty12,228,,0:25,control,1,1,1,1,1,1,1,,,,,00:07:56
1287,Blonde looks great on you,ria_camiii,228,,3:13,control,1,1,1,1,1,1,1,,,,,00:05:48
1288,Good to know!,wiz_khaleesi,229,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1289,Note to self: buy new wine 😋,karenM,229,,0:06,control,1,1,1,1,1,1,1,,,,,00:05:14
1290,"Would also recommend, surprisingly good!",tacoguy,229,,2:08,control,1,1,1,1,1,1,1,,,,,00:06:44
1291,Looks like a great view,karenM,230,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1292,How nice!,tacoguy,230,,0:25,control,1,1,1,1,1,1,1,,,,,00:04:03
1293,Omg it's my favorite people!!!,Ataylor,230,,0:25,control,1,1,1,1,1,1,1,,,,,00:04:22
1294,hahah smooth! I'm gonna have to use that some time,localewis,230,,2:14,control,1,1,1,1,1,1,1,,,,,0:02:03
1295,You go!!,tacoguy,231,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1296,Any recommendations on yoga classes for beginners?,Ataylor,231,,0:08,control,1,1,1,1,1,1,1,,,,,00:09:18
1297,"I've been meaning to get into yoga, this is a sign!",jake_turk,231,,4:15,control,1,1,1,1,1,1,1,,,,,00:09:55
1298,Seems like so much fun!,Ataylor,232,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1299,Perfect day!,jake_turk,232,,0:05,control,1,1,1,1,1,1,1,,,,,00:03:00
1300,🥳🥳🥳,hockeymom101,232,,0:06,control,1,1,1,1,1,1,1,,,,,00:00:11
1301,what a good looking group!,jupiterpride,232,,0:08,control,1,1,1,1,1,1,1,,,,,00:07:56
1302,So sad I couldn't make it <3,tastyrobot,232,,3:04,control,1,1,1,1,1,1,1,,,,,00:05:48
1303,Ugh take me back to warm weather 😩,jake_turk,233,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1304,It'll be warm again soon!,hockeymom101,233,,0:18,control,1,1,1,1,1,1,1,,,,,00:09:54
1305,relatable,snowbird,233,,4:19,control,1,1,1,1,1,1,1,,,,,00:06:35
1306,I'll ask my brother he'd know!,hockeymom101,234,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1307,I have kindle and I love it,snowbird,234,,0:15,control,1,1,1,1,1,1,1,,,,,00:02:40
1308,Lmk if you hear!,youngcunningham,234,,0:25,control,1,1,1,1,1,1,1,,,,,00:00:20
1309,"If you like audio books, I'd highly recommend audible",karenM,234,,4:54,control,1,1,1,1,1,1,1,,,,,00:05:35
1310,Wow! Time flies!,snowbird,235,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1311,Congrates Lanie!,youngcunningham,235,,0:13,control,1,1,1,1,1,1,1,,,,,00:05:57
1312,Way to go Lanie!,generic-joe,235,,0:10,control,1,1,1,1,1,1,1,,,,,00:05:30
1313,aw she's all grown up!,Sue_S,235,,0:19,control,1,1,1,1,1,1,1,,,,,00:01:00
1314,It feels like just yesterday she was starting high school ❤️,EmmaSmith0214,235,,4:40,control,1,1,1,1,1,1,1,,,,,00:09:18
1315,Such a good boy!,youngcunningham,236,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1316,I love Rocko with my entire heart,generic-joe,236,,0:23,control,1,1,1,1,1,1,1,,,,,00:07:07
1317,Fetch makes it all worth it!,Smitty12,236,,2:05,control,1,1,1,1,1,1,1,,,,,00:01:13
1318,I'll be there!,generic-joe,237,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1319,Oooo looking forward to it!,Smitty12,237,,0:11,control,1,1,1,1,1,1,1,,,,,00:09:58
1320,Looks like some great deals!,BossmanRy,237,,0:12,control,1,1,1,1,1,1,1,,,,,00:09:59
1321,"That bag looks super cute, def will be there.",breathe_in,237,,3:13, control,0,0,0,0,0,0,0,,,,,00:02:25
1322,I'm super into Marvel!,Smitty12,238,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1323,Also love Marvel! Spiderman Homecoming is great if you haven't seen any of the other movies,BossmanRy,238,,0:24,control,1,1,1,1,1,1,1,,,,,00:02:25
1324,Harry Potter is my comfort movie :),HP743,238,,2:54,control,1,1,1,1,1,1,1,,,,,00:00:34
1325,Same here! Can't wait!,BossmanRy,239,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1326,The golf course is my happy place :'),HP743,239,,0:11,control,1,1,1,1,1,1,1,,,,,00:05:35
1327,We're getting close!,Marcymaniac,239,,0:12,control,1,1,1,1,1,1,1,,,,,00:00:48
1328,"I can't, men and their golfing!",jackrussellmom,239,,0:12,control,1,1,1,1,1,1,1,,,,,00:05:35
1329,cant believe you've lasted this long without it,hockeymom101,239,,4:45,control,1,1,1,1,1,1,1,,,,,00:09:28
1330,Ha! Looking good!,HP743,240,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1331,What cuties!,Marcymaniac,240,,0:18,control,1,1,1,1,1,1,1,,,,,00:02:01
1332,Aww they were always such great kiddos,southerngirlCel,240,,4:19,control,1,1,1,1,1,1,1,,,,,00:08:08
1333,Good luck!,Marcymaniac,241,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1334,"Grind time, you got this!",southerngirlCel,241,,0:22,control,1,1,1,1,1,1,1,,,,,00:00:40
1335,You're so on top of things you'll do great,BossmanRy,241,,0:25,control,1,1,1,1,1,1,1,,,,,00:02:20
1336,so cute! love the animal motif,HP743,241,,4:14,control,1,1,1,1,1,1,1,,,,,00:05:35
1337,Wow!,southerngirlCel,242,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1338,That's absolutely incredible,BossmanRy,242,,0:24,control,1,1,1,1,1,1,1,,,,,00:00:19
1339,So cool you were able to get a photo,TomM41,242,,2:47,control,1,1,1,1,1,1,1,,,,,00:08:02
1340,Ooo where are you going?,BossmanRy,243,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1341,Drive safe!,TomM41,243,,0:19,control,1,1,1,1,1,1,1,,,,,00:09:17
1342,Have the best time,BeardedMatt,243,,0:23,control,1,1,1,1,1,1,1,,,,,00:05:50
1343,what a gorgeous sunset,B.Mike,243,,0:24,control,1,1,1,1,1,1,1,,,,,00:09:28
1344,keep taking and posting pics please ,thisisalfie1998,243,,4:13,control,1,1,1,1,1,1,1,,,,,00:08:02
1345,Gotta love that quality time,TomM41,244,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1346,One of my favorite groups! They always sound wonderful,BeardedMatt,244,,0:22,control,1,1,1,1,1,1,1,,,,,00:03:49
1347,Omg I was there too!,Lisa181818,244,,3:34,control,1,1,1,1,1,1,1,,,,,00:01:34
1348,LOL love that,BeardedMatt,245,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1349,"Omg I'll have to keep an eye out for those, that's hysterical",Lisa181818,245,,0:23,control,1,1,1,1,1,1,1,,,,,00:05:30
1350,ROFL,PatelS,245,,0:13,control,1,1,1,1,1,1,1,,,,,00:01:00
1351,Hahaha makes using a hand santizer a lil more fun!,gwenfromtheblock,245,,3:32,control,1,1,1,1,1,1,1,,,,,00:09:28
1352,Haha! I agree!,Lisa181818,246,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1353,You are the punniest person I know,PatelS,246,,0:18,control,1,1,1,1,1,1,1,,,,,00:01:32
1354,Nothing beats the smell of a new book,this_jack,246,,3:22,control,1,1,1,1,1,1,1,,,,,00:04:32
1355,Lmk if you want any route ideas!,PatelS,247,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1356,We'll have to go out cycling together sometime,this_jack,247,,0:23,control,1,1,1,1,1,1,1,,,,,00:00:48
1357,How fun!,DonDonDonna,247,,0:13,control,1,1,1,1,1,1,1,,,,,00:09:28
1358,Way to recycle!,Smitty12,247,,0:09,control,1,1,1,1,1,1,1,,,,,00:05:35
1359,Let's make sure to ride together some time 😄,MedicalRyan,247,,2:10,control,1,1,1,1,1,1,1,,,,,00:08:02
1360,Beautiful!,this_jack,248,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1361,"Aww, I needed this thank you for sharing!",DonDonDonna,248,,0:15,control,1,1,1,1,1,1,1,,,,,00:05:12
1362,These are just lovely,EmmaSmith0214,248,,3:53,control,1,1,1,1,1,1,1,,,,,00:02:30
1363,Yum!,DonDonDonna,249,,0:05,control,1,1,1,1,1,1,1,,,,,00:01:00
1364,Sending love to your beautiful family,EmmaSmith0214,249,,0:15,control,1,1,1,1,1,1,1,,,,,00:03:14
1365,This warms my heart :),B.Mike,249,,0:25,control,1,1,1,1,1,1,1,,,,,00:03:58
1366,I love fresh strawberries!,KatieeeM,249,,4:42,control,1,1,1,1,1,1,1,,,,,00:08:02
1367,Now THAT'S a perfect day for a hike,EmmaSmith0214,250,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1368,What a beautiful day,B.Mike,250,,0:24,control,1,1,1,1,1,1,1,,,,,00:02:29
1369,I gotta get out more often!,mariaann,250,,4:38,control,1,1,1,1,1,1,1,,,,,00:04:30
1370,have fun!,B.Mike,251,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1371,"Jealous, ugh I miss the ocean",mariaann,251,,0:11,control,1,1,1,1,1,1,1,,,,,00:08:28
1372,Love love love,KatieeeM,251,,0:09,control,1,1,1,1,1,1,1,,,,,00:04:27
1373,nothing better than being out at the beach,generic-joe,251,,0:14,control,1,1,1,1,1,1,1,,,,,00:01:36
1374,How lovely!,caffeinated,251,,2:42,control,1,1,1,1,1,1,1,,,,,00:06:20
1375,I love the brightness they bring amongst the warm colors!,mariaann,252,,0:03,control,1,1,1,1,1,1,1,,,,,00:01:00
1376,"All the leaves are just so lovely, I could stay outside all day",KatieeeM,252,,0:17,control,1,1,1,1,1,1,1,,,,,00:05:26
1377,I'm obsessed with the super deep red colors,TimBJenkins,252,,3:38,control,1,1,1,1,1,1,1,,,,,00:07:33
1378,Lol what in the world,KatieeeM,253,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1379,gotta love transposition,TimBJenkins,253,,0:17,control,1,1,1,1,1,1,1,,,,,00:01:36
1380,"haha been there, it's such a pain",jiruletheworld,253,,0:21,control,1,1,1,1,1,1,1,,,,,00:06:20
1381,How cool! that just looks like giberrish to me haha,breethebaker,253,,2:10,control,1,1,1,1,1,1,1,,,,,00:08:31
1382,What a fun reunion!,TimBJenkins,254,,0:01,control,1,1,1,1,1,1,1,,,,,00:01:00
1383,"Oooo, that coffee topping looks super cool",jiruletheworld,254,,0:17,control,1,1,1,1,1,1,1,,,,,00:03:39
1384,Blast from the past! Haven't seen him in forever!,dana84,254,,3:27,control,1,1,1,1,1,1,1,,,,,00:01:38
1385,Oh I think I know what you're talking about!,jiruletheworld,255,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1386,Reminds me of the Monet series :'),dana84,255,,0:11,control,1,1,1,1,1,1,1,,,,,00:00:24
1387,Just gorgeous,ayoitsayo,255,,0:19,control,1,1,1,1,1,1,1,,,,,00:08:31
1388,Water Lilies by Monet ,cavsforever,255,,0:16,control,1,1,1,1,1,1,1,,,,,00:01:00
1389,Love the bright green,Ataylor,255,,2:06,control,1,1,1,1,1,1,1,,,,,00:04:13
1390,It's a great way to get some more fruit in your diet!,dana84,256,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1391,Right?? They're so underrated!,ayoitsayo,256,,0:11,control,1,1,1,1,1,1,1,,,,,00:04:13
1392,There's no beating chocolate chips in my book lol,sweetietooth,256,,3:41,control,1,1,1,1,1,1,1,,,,,00:04:48
1393,What a cool project!,ayoitsayo,257,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1394,"This looks awesome, I can dig around for some!",sweetietooth,257,,0:17,control,1,1,1,1,1,1,1,,,,,00:03:14
1395,I would totally buy one of these from you,lucyinurdreams,257,,0:22,control,1,1,1,1,1,1,1,,,,,00:01:00
1396,"I have so many old collage shirts, this is perfect.",jupiterpride,257,,4:21,control,1,1,1,1,1,1,1,,,,,00:08:24
1397,There's no place like home :),sweetietooth,258,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1398,Welcome back!,lucyinurdreams,258,,0:21,control,1,1,1,1,1,1,1,,,,,00:06:33
1399,Love the photo.,chefricky,258,,2:35,control,1,1,1,1,1,1,1,,,,,00:03:33
1400,"Haha, I love the colors!",lucyinurdreams,259,,0:02,control,1,1,1,1,1,1,1,,,,,00:01:00
1401,"Ooo I see what you mean, so bright and colorful!",chefricky,259,,0:12,control,1,1,1,1,1,1,1,,,,,00:05:11
1402,I still wanna see your paintings sometime :),fgonzalez,259,,0:22,control,1,1,1,1,1,1,1,,,,,00:09:16
1403,Cool photo but I'm sure the painting was beautiful,cavsforever,259,,0:24,control,1,1,1,1,1,1,1,,,,,00:01:00
1404,Make sure to wash before they harden or the brushes will get ruined,HP743,259,,4:21,control,1,1,1,1,1,1,1,,,,,00:08:24
1405,Looks lovely!,chefricky,260,,0:04,control,1,1,1,1,1,1,1,,,,,00:01:00
1406,"I'm biased towards deeper, darker colors, but they both look great!",fgonzalez,260,,0:23,control,1,1,1,1,1,1,1,,,,,00:08:24
1407,Can't wait to see the final product!,clayton.myers,260,,2:49,control,1,1,1,1,1,1,1,,,,,00:05:12
