id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform
927,Love this so much,Lisa181818,133,,00:05:27,control,1,1,1,1,1,1,1
928,Cherish these memories 🥰,HP743,134,,00:01:00,control,1,1,1,1,1,1,1
929,You must be so proud!,ancho-n-cayenne,134,,00:03:05,control,1,1,1,1,1,1,1
930,Such a little daddy's girl! <3 ,livelaughlove,134,,0:06:47,control,1,1,1,1,1,1,1
931,She's gotten so big!,Lisa181818,134,,00:01:00,control,1,1,1,1,1,1,1
932,Wow she's doing great! Way to go!,dana84,134,,00:05:10,control,1,1,1,1,1,1,1
933,"Glad you're staying safe, I miss it too!",Lisa181818,135,,00:01:00,control,1,1,1,1,1,1,1
934,Feels like a lifetime ago doesn't it?,dana84,135,,00:01:07,control,1,1,1,1,1,1,1
935,That seems like a whole other world! Cant wait to get back to it,NoahM1121,135,,0:02:47,control,1,1,1,1,1,1,1
936,Cheers to that...,john73,135,,00:03:09,control,1,1,1,1,1,1,1
937,SUCH A GOOD DOGGO,dana84,136,,00:01:00,control,1,1,1,1,1,1,1
938,tell him he's a good boy from me!!!,john73,136,,00:03:01,control,1,1,1,1,1,1,1
939,Walks are the best part of the day :),coachmatthews,136,,00:09:24,control,1,1,1,1,1,1,1
940,Oooo love the new look!,john73,137,,00:01:00,control,1,1,1,1,1,1,1
941,Wow you're right the lights tie everything together!,coachmatthews,137,,00:06:39,control,1,1,1,1,1,1,1
942,"girl, that looks SO cute!! ",_aikira_,137,,00:03:01,control,1,1,1,1,1,1,1
943,I love perks of being a wallflower! One of my faves!,tastyrobot,137,,0:02:01,control,1,1,1,1,1,1,1
944,Love what you've done with the place,NoahM1121,137,,00:04:57,control,1,1,1,1,1,1,1
945,STUNNING,coachmatthews,138,,00:01:00,control,1,1,1,1,1,1,1
946,"Omg I'm so jealous, what a great view",NoahM1121,138,,00:06:29,control,1,1,1,1,1,1,1
947,Where are you? It looks absolutely gorgeous! ,kittycatbakes,138,,00:01:00,control,1,1,1,1,1,1,1
948,Wow!,MannyDL34,138,,00:02:40,control,1,1,1,1,1,1,1
949,That's so lovely,NoahM1121,139,,00:01:00,control,1,1,1,1,1,1,1
950,Great times! Take me back amiright?,MannyDL34,139,,00:09:43,control,1,1,1,1,1,1,1
951,How sweet 🥰,mateoV,139,,00:02:14,control,1,1,1,1,1,1,1
952,"I remember this, such a great performance!",MannyDL34,140,,00:01:00,control,1,1,1,1,1,1,1
953,I love going to concerts so much! ,jupiterpride,140,,00:01:00,control,1,1,1,1,1,1,1
954,"Rt to that, I miss the shows!",mateoV,140,,00:04:29,control,1,1,1,1,1,1,1
955,Love this! Someday soon!!!,sweetpea,140,,00:03:28,control,1,1,1,1,1,1,1
956,"Aww, the good ol' days",mateoV,141,,00:01:00,control,1,1,1,1,1,1,1
957,Never thought I'd miss it so much!,sweetpea,141,,00:05:54,control,1,1,1,1,1,1,1
958,Great picture!,localewis,141,,00:05:33,control,1,1,1,1,1,1,1
959,Ooo I might be interested in it!,sweetpea,142,,00:01:00,control,1,1,1,1,1,1,1
960,My friend has a truck I'll ask!,localewis,142,,00:08:28,control,1,1,1,1,1,1,1
961,I'm also interested!,artisanalways,142,,00:00:26,control,1,1,1,1,1,1,1
962,Don't you ever wish you could read a book for the first time again?,localewis,143,,00:01:00,control,1,1,1,1,1,1,1
963,One of my favorites too!,artisanalways,143,,00:07:03,control,1,1,1,1,1,1,1
964,Ooo haven't read that book yet but love the show!,tacoguy,143,,00:03:01,control,1,1,1,1,1,1,1
965,A classic!,jake_turk,143,,00:01:00,control,1,1,1,1,1,1,1
966,Nothing better than a good book.,_aikira_,143,,00:01:38,control,1,1,1,1,1,1,1
967,"Haha, welcome back friend :)",artisanalways,144,,00:01:00,control,1,1,1,1,1,1,1
968,Good to see your face!,_aikira_,144,,00:05:35,control,1,1,1,1,1,1,1
969,hey lol,SnakeCharmer,144,,00:03:01,control,1,1,1,1,1,1,1
970,Omg it's been so long!!,lee.alexa,144,,00:00:41,control,1,1,1,1,1,1,1
971,Nooooo I'm sorry :(,_aikira_,145,,00:01:00,control,1,1,1,1,1,1,1
972,Dang yeah that happened to me a few weeks ago it's the worst,lee.alexa,145,,00:05:42,control,1,1,1,1,1,1,1
973,Oh heck I'm sorry dude,fusionfeast,145,,00:09:54,control,1,1,1,1,1,1,1
974,Ohhh that was one of my favorites too!,lee.alexa,146,,00:01:00,control,1,1,1,1,1,1,1
975,Sounds like a perfect day,fusionfeast,146,,00:07:02,control,1,1,1,1,1,1,1
976,I'll have to give that book a try!,breathe_in,146,,00:04:32,control,1,1,1,1,1,1,1
977,Wow so pretty!,fusionfeast,147,,00:01:00,control,1,1,1,1,1,1,1
978,So great to have some nice biking weather,breathe_in,147,,00:07:57,control,1,1,1,1,1,1,1
979,Sounds so fun! ,coachmatthews,147,,00:03:01,control,1,1,1,1,1,1,1
980,Such great exercise :)) ,MannyDL34,147,,00:01:00,control,1,1,1,1,1,1,1
981,Love it!,ria_camiii,147,,00:06:16,control,1,1,1,1,1,1,1
982,"One of my favorite places, so interesting!",breathe_in,148,,00:01:00,control,1,1,1,1,1,1,1
983,Where is this? Looks so beautiful,artisanalways,148,,00:06:49,control,1,1,1,1,1,1,1
984,Isn't it so great??,lee.alexa,148,,00:01:00,control,1,1,1,1,1,1,1
985,Seems awesome,ria_camiii,148,,00:01:29,control,1,1,1,1,1,1,1
986,You're so right it's the perfect day for that,Sue_S,148,,00:02:44,control,1,1,1,1,1,1,1
987,Awww congratulations you two!,ria_camiii,149,,00:01:00,control,1,1,1,1,1,1,1
988,My fav couple,bblueberryy,149,,,control,1,1,1,1,1,1,1
989,GOALS,Sue_S,149,,00:06:49,control,1,1,1,1,1,1,1
990,I'm so single 😭,caffeinated,149,,00:01:19,control,1,1,1,1,1,1,1
991,ugh relatable,Sue_S,150,,00:01:00,control,1,1,1,1,1,1,1
992,too true 🤣🤣🤣,caffeinated,150,,00:05:15,control,1,1,1,1,1,1,1
993,bruh why you gotta call me out like this,earthpulse,150,,00:08:30,control,1,1,1,1,1,1,1
994,Omg I can't believe how old he's gotten!,caffeinated,151,,00:01:00,control,1,1,1,1,1,1,1
995,Congratulations!!!!,earthpulse,151,,00:07:39,control,1,1,1,1,1,1,1
996,🥳🥳🥳,casssssssssie,151,,00:03:48,control,1,1,1,1,1,1,1
997,Have a great time!,earthpulse,152,,00:01:00,control,1,1,1,1,1,1,1
998,So lovely,casssssssssie,152,,00:06:52,control,1,1,1,1,1,1,1
999,Jealous!!!!!!!,breethebaker,152,,00:07:18,control,1,1,1,1,1,1,1
1000,Oh no! We'll be keeping an eye out!,casssssssssie,153,,00:01:00,control,1,1,1,1,1,1,1
1001,I'm so sorry!! Let me know if there's anything I can do ❤️,caffeinated,153,,00:03:01,control,1,1,1,1,1,1,1
1002,thinking of you ❤️,breethebaker,153,,00:06:43,control,1,1,1,1,1,1,1
1003,sending love,kittycatbakes,153,,00:03:50,control,1,1,1,1,1,1,1
1004,Omg my friend was looking!,breethebaker,154,,00:01:00,control,1,1,1,1,1,1,1
1005,YOU ARE A HERO,kittycatbakes,154,,00:07:04,control,1,1,1,1,1,1,1
1006,I'll spread the word!!,localewis,154,,00:03:27,control,1,1,1,1,1,1,1
1007,I'M GONNA DIE THEY'RE SO CUTE,kittycatbakes,155,,00:01:00,control,1,1,1,1,1,1,1
1008,Ugh I so would if my hubby wasn't allergic 😭,jackrussellmom,155,,00:03:01,control,1,1,1,1,1,1,1
1009,so sweet!,localewis,155,,00:08:47,control,1,1,1,1,1,1,1
1010,I'm interested!,jupiterpride,155,,00:03:48,control,1,1,1,1,1,1,1
1011,Omg I have to let my sister know she'd love this,localewis,156,,00:01:00,control,1,1,1,1,1,1,1
1012,what a cuuuuuuutieeeee ,HP743,156,,00:03:01,control,1,1,1,1,1,1,1
1013,I def will be there!! ,artisanalways,156,,00:06:49,control,1,1,1,1,1,1,1
1014,awwwww look at the little kitties,jupiterpride,156,,00:01:31,control,1,1,1,1,1,1,1
1015,LOVE,jackrussellmom,156,,00:07:55,control,1,1,1,1,1,1,1
1016,Looks like a perfect night!,jupiterpride,157,,00:01:00,control,1,1,1,1,1,1,1
1017,this looks so creepy like you're doing some ritual...,breethebaker,157,,00:03:01,control,1,1,1,1,1,1,1
1018,lol that's lowkey ugly,fusionfeast,157,,0:18:01,control,1,1,1,1,1,1,1
1019,Oooooo s'mores yum!,jackrussellmom,157,,00:09:07,control,1,1,1,1,1,1,1
1020,so nice!,lavenderrrrrr,157,,00:02:45,control,1,1,1,1,1,1,1
1021,YUM,jackrussellmom,158,,00:01:00,control,1,1,1,1,1,1,1
1022,where is this?,ancho-n-cayenne,158,,00:03:01,control,1,1,1,1,1,1,1
1023,looks absolutely delicious,lavenderrrrrr,158,,00:06:53,control,1,1,1,1,1,1,1
1024,Fun night!,cavsforever,158,,00:06:18,control,1,1,1,1,1,1,1
1025,"Wow, impressive!",lavenderrrrrr,159,,00:01:00,control,1,1,1,1,1,1,1
1026,Great work!,cavsforever,159,,00:02:36,control,1,1,1,1,1,1,1
1027,You are the coolest person I know,tastyrobot,159,,00:03:51,control,1,1,1,1,1,1,1
1028,omg where is this?? I'll have to go!,cavsforever,160,,00:01:00,control,1,1,1,1,1,1,1
1029,Pretty!!!,tastyrobot,160,,00:00:50,control,1,1,1,1,1,1,1
1030,wow looks absolutely gorg,sweetpea,160,,00:03:01,control,1,1,1,1,1,1,1
1031,breathtaking,wiz_khaleesi,160,,00:02:22,control,1,1,1,1,1,1,1
1032,love when educational is fun!,tastyrobot,161,,00:01:00,control,1,1,1,1,1,1,1
1033,I loved going to the musuems with my family when I was little. They'll probably remember that visit forever!,Lisa181818,,,00:03:01,control,1,1,1,1,1,1,1
1034,Sounds amazing!,wiz_khaleesi,161,,00:05:13,control,1,1,1,1,1,1,1
1035,Yayyyy love exposing kids to STEM,hockeymom101,161,,00:08:30,control,1,1,1,1,1,1,1
1036,MMM SO GOOD,wiz_khaleesi,162,,00:01:00,control,1,1,1,1,1,1,1
1037,sounds soooo cozy,hockeymom101,162,,00:04:47,control,1,1,1,1,1,1,1
1038,lol it looks like beads on top,Smitty12,162,,00:03:01,control,1,1,1,1,1,1,1
1039,"i hope the weather gets better, I miss the sunshine 😔",EmmaSmith0214,162,,0:09:01,control,1,1,1,1,1,1,1
1040,love that sm,tacoguy,162,,00:02:57,control,1,1,1,1,1,1,1
1041,"oh wow, stay safe out there",hockeymom101,163,,00:01:00,control,1,1,1,1,1,1,1
1042,lmk if you need anything!,tacoguy,163,,00:09:39,control,1,1,1,1,1,1,1
1043,that's so crazy wow,Ataylor,163,,00:02:44,control,1,1,1,1,1,1,1
1044,How exciting!!!,tacoguy,164,,00:01:00,control,1,1,1,1,1,1,1
1045,Wow! you absolutely should be proud!,Ataylor,164,,00:02:56,control,1,1,1,1,1,1,1
1046,I read the article it was fantastic!,karenM,164,,00:00:21,control,1,1,1,1,1,1,1
1047,That's so nice!,Ataylor,165,,00:01:00,control,1,1,1,1,1,1,1
1048,this is the most heartwarming thing I've heard all week,karenM,165,,00:03:06,control,1,1,1,1,1,1,1
1049,"it looks like it needs major repairs, make sure you get an inspector.",generic-joe,165,,00:02:44,control,1,1,1,1,1,1,1
1050,What a nice thing for your family ❤️,TomM41,165,,00:01:08,control,1,1,1,1,1,1,1
1051,You've raised a real gentleman!,karenM,166,,00:01:00,control,1,1,1,1,1,1,1
1052,You must be so proud 😊,Lisa181818,166,,,control,1,1,1,1,1,1,1
1053,I'm sure you were absolutely BEAMING when you saw this,TomM41,166,,00:06:24,control,1,1,1,1,1,1,1
1054,They grow up so fast!,BeardedMatt,166,,00:02:51,control,1,1,1,1,1,1,1
1055,"Wow, I love seeing photos like these",TomM41,167,,00:01:00,control,1,1,1,1,1,1,1
1056,makes me feel so nostalgic,sweetietooth,167,,00:02:44,control,1,1,1,1,1,1,1
1057,If only this was a video!,dana84,167,,0:12:44,control,1,1,1,1,1,1,1
1058,So cool that you have these from so long ago!,BeardedMatt,167,,00:07:24,control,1,1,1,1,1,1,1
1059,Thank you so much for sharing,MedicalRyan,167,,00:02:34,control,1,1,1,1,1,1,1
1060,What a sweet memory.,BeardedMatt,168,,00:01:00,control,1,1,1,1,1,1,1
1061,Reminds me of events my grandpa told me about :),MedicalRyan,168,,00:03:54,control,1,1,1,1,1,1,1
1062,Awesome photo!,Lisa181818,168,,00:09:12,control,1,1,1,1,1,1,1
1063,Love this!,MedicalRyan,169,,00:01:00,control,1,1,1,1,1,1,1
1064,Your weekly posts bring me such joy :),Lisa181818,169,,00:00:08,control,1,1,1,1,1,1,1
1065,I live for these!,this_jack,169,,00:04:07,control,1,1,1,1,1,1,1
1066,Never too late to start!,Lisa181818,170,,00:01:00,control,1,1,1,1,1,1,1
1067,Thank you for the resolution reminder! I haven't thought about mine for months! ,aleeboi,170,,00:02:44,control,1,1,1,1,1,1,1
1068,"Haha relatable, I dropped mine weeks ago 🤣",this_jack,170,,00:01:31,control,1,1,1,1,1,1,1
1069,You got this!,PatelS,170,,00:08:13,control,1,1,1,1,1,1,1
1070,This is how you know we're getting old 🤣,this_jack,171,,00:01:00,control,1,1,1,1,1,1,1
1071,Me but with glasses!! all the damn time,TomM41,171,,00:02:44,control,1,1,1,1,1,1,1
1072,happens to the best of us! ,mariaann,171,,0:04:44,control,1,1,1,1,1,1,1
1073,This is so me!,PatelS,171,,00:08:41,control,1,1,1,1,1,1,1
1074,hahahaha accurate,DonDonDonna,171,,00:03:28,control,1,1,1,1,1,1,1
1075,couldn't agree more!,PatelS,172,,00:01:00,control,1,1,1,1,1,1,1
1076,that woman looks so scary 🤣,clayton.myers,172,,00:02:44,control,1,1,1,1,1,1,1
1077,"oh come on, relax",BossmanRy,172,,0:03:44,control,1,1,1,1,1,1,1
1078,It's honestly kinda disturbing.....,DonDonDonna,172,,00:05:42,control,1,1,1,1,1,1,1
1079,Everyone's addicted these days!,EmmaSmith0214,172,,00:04:55,control,1,1,1,1,1,1,1
1080,Shared!,DonDonDonna,173,,00:01:00,control,1,1,1,1,1,1,1
1081,"haha, these ARE fun!",EmmaSmith0214,173,,00:08:10,control,1,1,1,1,1,1,1
1082,ooo love this how fun!,B.Mike,173,,00:00:44,control,1,1,1,1,1,1,1
1083,hahahaha ME,EmmaSmith0214,174,,00:01:00,control,1,1,1,1,1,1,1
1084,LOL I'm sorry but this is so you,B.Mike,174,,00:00:28,control,1,1,1,1,1,1,1
1085,SO relatable,mariaann,174,,00:05:26,control,1,1,1,1,1,1,1
1086,Everyone deserves to smile more :),B.Mike,175,,00:01:00,control,1,1,1,1,1,1,1
1087,Agreed!,mariaann,175,,00:00:55,control,1,1,1,1,1,1,1
1088,So so true,thisisalfie1998,175,,00:05:13,control,1,1,1,1,1,1,1
1089,Haha! Kids are so picky these days!,mariaann,176,,00:01:00,control,1,1,1,1,1,1,1
1090,LOL,thisisalfie1998,176,,00:09:07,control,1,1,1,1,1,1,1
1091,I used to complain so much as a kid but now I understand!,MannyDL34,176,,00:02:44,control,1,1,1,1,1,1,1
1092,Same!,KatieeeM,176,,0:03:44,control,1,1,1,1,1,1,1
1093,HAHA we're so old,thisisalfie1998,177,,00:01:00,control,1,1,1,1,1,1,1
1094,what! You're not a day over 21 😉,Jcole9,177,,00:02:44,control,1,1,1,1,1,1,1
1095,I've been exposed!,KatieeeM,177,,0:03:44,control,1,1,1,1,1,1,1
1096,I really don't know how I got so forgetful....,TimBJenkins,177,,00:06:44,control,1,1,1,1,1,1,1
1097,"If this is true, I'm the next Einstein!",KatieeeM,178,,00:01:00,control,1,1,1,1,1,1,1
1098,Omg love this thought process!,TimBJenkins,178,,00:00:51,control,1,1,1,1,1,1,1
1099,Ha! I wish!,fgonzalez,178,,00:07:27,control,1,1,1,1,1,1,1
1100,Omg I needed this,TimBJenkins,179,,00:01:00,control,1,1,1,1,1,1,1
1101,hahah here I was thinking I needed supplements! ,earthpulse,179,,00:02:44,control,1,1,1,1,1,1,1
1102,Wow I had completely lost track of time.....,fgonzalez,179,,0:06:44,control,1,1,1,1,1,1,1
1103,What would I do without you,jiruletheworld,179,,00:01:50,control,1,1,1,1,1,1,1
1104,proud of you!,fgonzalez,180,,00:01:00,control,1,1,1,1,1,1,1
1105,wow this is awesome!,jiruletheworld,180,,00:08:14,control,1,1,1,1,1,1,1
1106,you got this!!!!!!,ayoitsayo,180,,00:06:46,control,1,1,1,1,1,1,1
1107,Those were the days!,jiruletheworld,181,,00:01:00,control,1,1,1,1,1,1,1
1108,how do you even use that?,SnakeCharmer,181,,00:02:44,control,1,1,1,1,1,1,1
1109,I showed one to my neighbor's kids and they had no idea what it was 🤣,ayoitsayo,181,,0:03:44,control,1,1,1,1,1,1,1
1110,I dont even know what that is lmfao,Marcymaniac,181,,0:08:44,control,1,1,1,1,1,1,1
1111,Me!!!!,sweetietooth,181,,00:06:23,control,1,1,1,1,1,1,1
1112,"Best movie series, no one will change my mind.",ayoitsayo,182,,00:01:00,control,1,1,1,1,1,1,1
1113,These are the facts!,sweetietooth,182,,00:02:20,control,1,1,1,1,1,1,1
1114,"Meh, doesn't live up to the originals in my opinion....",dana84,182,,00:04:03,control,1,1,1,1,1,1,1
1115,HA love the dark humor,sweetietooth,183,,00:01:00,control,1,1,1,1,1,1,1
1116,PFFFT am I a bad person for laughing,dana84,183,,00:06:37,control,1,1,1,1,1,1,1
1117,LMAO,lucyinurdreams,183,,00:04:55,control,1,1,1,1,1,1,1
1118,"Yeah I'm with you, the diet can wait one more day...",dana84,184,,00:01:00,control,1,1,1,1,1,1,1
1119,YUM,lucyinurdreams,184,,00:09:14,control,1,1,1,1,1,1,1
1120,resolutions are meant to be broken 😋,chefricky,184,,00:05:35,control,1,1,1,1,1,1,1
1121,If only 😩,lucyinurdreams,185,,00:01:00,control,1,1,1,1,1,1,1
1122,Mmmmm.... cake.....,chefricky,185,,00:00:25,control,1,1,1,1,1,1,1
1123,hahahahhaha maybe one day,DonDonDonna,185,,0:03:44,control,1,1,1,1,1,1,1
1124,These are my life goals,clayton.myers,185,,00:09:54,control,1,1,1,1,1,1,1
1125,OMG STOP,chefricky,186,,00:01:00,control,1,1,1,1,1,1,1
1126,CUTENESS OVERLOAD,clayton.myers,186,,00:00:00,control,1,1,1,1,1,1,1
1127,Why is she prettier than me? LOL,KatieeeM,186,,0:07:44,control,1,1,1,1,1,1,1
1128,UGH I need a dog,aleeboi,186,,00:03:34,control,1,1,1,1,1,1,1
1129,LOL I'm the same way,clayton.myers,187,,00:01:00,control,1,1,1,1,1,1,1
1130,haha I understand I can't help buying them!,aleeboi,187,,00:03:20,control,1,1,1,1,1,1,1
1131,nothing better than fresh set of highlighters! ,lucyinurdreams,187,,00:09:33,control,1,1,1,1,1,1,1
1132,i love back to school shopping,_aikira_,187,,00:01:00,control,1,1,1,1,1,1,1
1133,But hear me out: they're so satisfying,mewranda,187,,00:00:27,control,1,1,1,1,1,1,1
1134,Beautiful!,aleeboi,188,,00:01:53,control,1,1,1,1,1,1,1
1135,TAKE ME WITH YOU,mewranda,188,,00:09:38,control,1,1,1,1,1,1,1
1136,Wow I could use a vacation...,masterchefterry,188,,00:07:00,control,1,1,1,1,1,1,1
1137,How cute!,mewranda,189,,00:01:00,control,1,1,1,1,1,1,1
1138,Perfect winter activity for when there isn't real snow :),masterchefterry,189,,00:01:26,control,1,1,1,1,1,1,1
1139,my kids love anything with googley eyes,caffeinated,189,,,control,1,1,1,1,1,1,1
1140,Ooo I'll have to try this!,gwenfromtheblock,189,,00:01:56,control,1,1,1,1,1,1,1
1141,Omg I could NEVER,masterchefterry,190,,00:01:00,control,1,1,1,1,1,1,1
1142,that's so cool!,gwenfromtheblock,190,,00:03:20,control,1,1,1,1,1,1,1
1143,"aww poor guy, I hope you let him go :// ",EmmaSmith0214,190,,00:09:33,control,1,1,1,1,1,1,1
1144,yuck!! ,mewranda,190,,00:01:00,control,1,1,1,1,1,1,1
1145,Wow!! Where'd you get to do that??,fgonzalez,190,,00:00:27,control,1,1,1,1,1,1,1
1146,how fun!,gwenfromtheblock,191,,00:01:53,control,1,1,1,1,1,1,1
1147,YUM! You always made the best pancakes :),fgonzalez,191,,00:03:20,control,1,1,1,1,1,1,1
1148,I could eat ten platefuls!,JuniperQ,191,,00:09:33,control,1,1,1,1,1,1,1
1149,Can't think of any better reason!,fgonzalez,192,,00:01:00,control,1,1,1,1,1,1,1
1150,Great photo!,JuniperQ,192,,00:00:27,control,1,1,1,1,1,1,1
1151,You are absolutely glowing,VitaBOCA,192,,00:01:53,control,1,1,1,1,1,1,1
1152,Wishing you the best!,JuniperQ,193,,00:01:00,control,1,1,1,1,1,1,1
1153,Good luck with everything!,VitaBOCA,193,,00:08:04,control,1,1,1,1,1,1,1
1154,I hope you had a great semester 😃😃😃,sweetpea,193,,,control,1,1,1,1,1,1,1
1155,We'll miss you around here!,EZpz,193,,00:01:45,control,1,1,1,1,1,1,1
1156,Mmm Mmm Good!,VitaBOCA,194,,00:01:00,control,1,1,1,1,1,1,1
1157,I would never dare challenge you as grill master!,EZpz,194,,00:03:20,control,1,1,1,1,1,1,1
1158,idk looks a little flat to me 🤷🏻,M.Kapadia92,194,,00:09:33,control,1,1,1,1,1,1,1
1159,I hope he grills next time I come over,ancho-n-cayenne,194,,00:01:00,control,1,1,1,1,1,1,1
1160,Looks fantastic,masterchefterry,194,,00:00:27,control,1,1,1,1,1,1,1
1161,You've got good taste,EZpz,195,,00:01:53,control,1,1,1,1,1,1,1
1162,Oh hell yeah!,masterchefterry,195,,00:03:13,control,1,1,1,1,1,1,1
1163,Fantastic song.,MrShazam,195,,00:06:39,control,1,1,1,1,1,1,1
1164,Cupcakes AND oreos???? count me in.,masterchefterry,196,,00:01:00,control,1,1,1,1,1,1,1
1165,These look great!,MrShazam,196,,00:08:11,control,1,1,1,1,1,1,1
1166,you should go on cupcake wars!,Jcole9,196,,00:06:49,control,1,1,1,1,1,1,1
1167,I would gobble those up in a second,lee.alexa,196,,00:01:00,control,1,1,1,1,1,1,1
1168,Sooooo where can I get some?,csmbx1,196,,00:05:23,control,1,1,1,1,1,1,1
1169,Aww this is cute,MrShazam,197,,00:01:00,control,1,1,1,1,1,1,1
1170,Lol can I pay you to follow me around and take candids like this,csmbx1,197,,00:08:11,control,1,1,1,1,1,1,1
1171,Seems like the perfect outdoor day :),mewranda,197,,00:06:49,control,1,1,1,1,1,1,1
1172,SUCH A GOOD BOY,csmbx1,198,,00:01:00,control,1,1,1,1,1,1,1
1173,I would die for this dog.,mewranda,198,,00:05:23,control,1,1,1,1,1,1,1
1174,he's grown so much!,ria_camiii,198,,00:04:32,control,1,1,1,1,1,1,1
1175,I miss him!! And I know he misses me too!!!!,SnakeCharmer,198,,00:06:34,control,1,1,1,1,1,1,1
1176,Omg stunning!,mewranda,199,,00:01:00,control,1,1,1,1,1,1,1
1177,You are so talented!,SnakeCharmer,199,,00:05:57,control,1,1,1,1,1,1,1
1178,Would you make one for me?? I'd pay!,difrad,199,,00:01:55,control,1,1,1,1,1,1,1
1179,Can't wait to see!,SnakeCharmer,200,,00:01:00,control,1,1,1,1,1,1,1
1180,One of my favorite activities :),difrad,200,,00:01:30,control,1,1,1,1,1,1,1
1181,"that's a loooot of pumpkins, the place I went to had only like 15!",kittycatbakes,200,,00:04:32,control,1,1,1,1,1,1,1
1182,So fun!,M.Kapadia92,200,,00:03:57,control,1,1,1,1,1,1,1
1183,That's huge! Congrats!,difrad,201,,00:01:00,control,1,1,1,1,1,1,1
1184,Wow!!!,M.Kapadia92,201,,00:04:32,control,1,1,1,1,1,1,1
1185,Gotta love the freedom :),livelaughlove,201,,00:00:56,control,1,1,1,1,1,1,1
1186,Oooo I love a good drive!,M.Kapadia92,202,,00:01:00,control,1,1,1,1,1,1,1
1187,Glad you made it home safe ❤️,livelaughlove,202,,00:05:00,control,1,1,1,1,1,1,1
1188,Don't take pictures and drive!,lavenderrrrrr,202,,00:07:12,control,1,1,1,1,1,1,1
1189,nothing like getting home after a long drive,Sue_S,202,,0:10:12,control,1,1,1,1,1,1,1
1190,Sounds like a busy day!,bblueberryy,202,,00:04:04,control,1,1,1,1,1,1,1
1191,Omg it's lovely!,livelaughlove,203,,00:01:00,control,1,1,1,1,1,1,1
1192,That's impressive craftsmenship,bblueberryy,203,,00:04:05,control,1,1,1,1,1,1,1
1193,Looks great,ancho-n-cayenne,203,,00:00:44,control,1,1,1,1,1,1,1
1194,Who's gonna tell them.....,bblueberryy,204,,00:01:00,control,1,1,1,1,1,1,1
1195,I dont think that link leads to anywhere...,jake_turk,204,,0:17:12,control,1,1,1,1,1,1,1
1196,"Oh honey, no.",ancho-n-cayenne,204,,00:01:28,control,1,1,1,1,1,1,1
1197,Ooo this seems awesome!,john73,204,,00:07:12,control,1,1,1,1,1,1,1
1198,"Was there a few days ago, best day ever!",ancho-n-cayenne,205,,00:01:00,control,1,1,1,1,1,1,1
1199,That's my perfect afternoon,john73,205,,00:09:42,control,1,1,1,1,1,1,1
1200,How nice! Any favorites?,coachmatthews,205,,00:00:08,control,1,1,1,1,1,1,1
1201,Omg it's a blue jay!!!,john73,206,,00:01:00,control,1,1,1,1,1,1,1
1202,Wow! I've never seen one of those around my house!,coachmatthews,206,,00:06:07,control,1,1,1,1,1,1,1
1203,neato,earthpulse,206,,00:01:00,control,1,1,1,1,1,1,1
1204,This picture gave me the motivation to finally put my bird feeder up,jackrussellmom,206,,00:06:57,control,1,1,1,1,1,1,1
1205,It's beautiful isn't it??,NoahM1121,206,,00:06:41,control,1,1,1,1,1,1,1
1206,Have fun girls!,coachmatthews,207,,00:01:00,control,1,1,1,1,1,1,1
1207,They'll have such a good time! Miss them already!,NoahM1121,207,,00:05:06,control,1,1,1,1,1,1,1
1208,Tell them to send me letters!,MannyDL34,207,,00:06:41,control,1,1,1,1,1,1,1
1209,"Impressive, well done!",NoahM1121,208,,00:01:00,control,1,1,1,1,1,1,1
1210,So when are you inviting us over for beers? Looks great!,MannyDL34,208,,00:06:57,control,1,1,1,1,1,1,1
1211,can you do my next? 😉😆,karenM,208,,00:06:41,control,1,1,1,1,1,1,1
1212,Can't wait to see in person!,sweetpea,208,,00:01:00,control,1,1,1,1,1,1,1
1213,Congrats!!,MannyDL34,209,,00:05:06,control,1,1,1,1,1,1,1
1214,Moving up in the world! You rock!,sweetpea,209,,00:04:22,control,1,1,1,1,1,1,1
1215,Well deserved!,mateoV,209,,00:06:50,control,1,1,1,1,1,1,1
1216,Congratulations!!!!,sweetpea,210,,00:01:00,control,1,1,1,1,1,1,1
1217,Ugh I love you guys SO MUCH!,mateoV,210,,00:02:16,control,1,1,1,1,1,1,1
1218,Congrats! What a great picture! ,jupiterpride,210,,00:01:00,control,1,1,1,1,1,1,1
1219,finally!! jk 😉 really happy for you both,wiz_khaleesi,210,,00:04:52,control,1,1,1,1,1,1,1
1220,This makes me so happy!!!! CONGRATS!!!,artisanalways,210,,00:05:22,control,1,1,1,1,1,1,1
1221,Haha bet I could beat you ;),mateoV,211,,00:01:00,control,1,1,1,1,1,1,1
1222,Omg that game is so addictive hahaha,artisanalways,211,,00:07:26,control,1,1,1,1,1,1,1
1223,I could spend hours playing that,Jcole9,211,,00:05:01,control,1,1,1,1,1,1,1
1224,Tell them I say hi!,artisanalways,212,,00:01:00,control,1,1,1,1,1,1,1
1225,So nice you get to catch up with them,Jcole9,212,,00:07:51,control,1,1,1,1,1,1,1
1226,beautiful family ❤️,_aikira_,212,,00:03:40,control,1,1,1,1,1,1,1
1227,"aww they're so precious, makes me miss my parents",earthpulse,212,,00:01:00,control,1,1,1,1,1,1,1
